angleToTrackAxis,trackPosition,11Sensor,rxSensor,ctrSensor,sxSensor,7Sensor,xSpeed,ySpeed,class
-0.027487,-0.001469,0.255071,0.194562,0.158230,0.132918,0.113042,0.388591,-0.002849,4
0.014983,-0.001106,1.000000,0.419239,0.254730,0.183950,0.144813,0.378658,0.005982,0
0.014832,-0.001646,0.597595,1.000000,0.377887,0.229115,0.165296,0.372200,-0.000203,0
-0.011277,-0.001710,0.694115,1.000000,0.346644,0.210005,0.151457,0.368476,-0.000761,1
-0.038718,-0.001011,0.795420,0.920365,0.313490,0.189790,0.136837,0.364773,-0.000778,1
-0.038080,0.000054,0.687065,1.000000,0.312520,0.181565,0.128640,0.365255,-0.001431,6
-0.034527,0.000985,0.624015,1.000000,0.312272,0.173818,0.121063,0.372263,-0.000786,1
-0.028416,0.001939,0.525740,1.000000,0.339071,0.172126,0.115930,0.380697,-0.001183,6
-0.023966,0.002648,0.478722,1.000000,0.366512,0.170346,0.111512,0.389803,-0.000541,1
-0.017666,0.003285,0.419503,1.000000,0.453985,0.176994,0.110447,0.398735,-0.000765,6
-0.013956,0.003722,0.394867,1.000000,0.537120,0.180077,0.108669,0.398386,-0.000190,1
-0.013938,0.004135,0.406567,1.000000,0.502460,0.168310,0.101549,0.395576,-0.000115,1
-0.013955,0.004546,0.418581,1.000000,0.466618,0.156431,0.094398,0.392306,-0.000034,1
-0.013929,0.004958,0.430150,1.000000,0.432222,0.144722,0.087311,0.394983,0.000006,1
-0.014246,0.005382,0.445725,1.000000,0.387054,0.131549,0.079605,0.413908,-0.000094,1
-0.013360,0.005830,0.449119,1.000000,0.372706,0.121341,0.072798,0.439724,0.000118,1
-0.013246,0.006288,0.460868,1.000000,0.334649,0.108321,0.064913,0.465937,0.000093,1
-0.006234,0.006686,0.405446,0.925215,0.634595,0.116534,0.064428,0.490967,0.000268,6
0.007226,0.006690,0.319395,0.570295,1.000000,0.192369,0.082061,0.502857,0.000867,6
0.012167,0.006245,0.288506,0.486726,1.000000,0.287220,0.103617,0.517205,-0.000113,1
0.012436,0.005760,0.278796,0.469047,1.000000,0.330027,0.117739,0.532833,0.000045,1
